,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
2,B0050R0XEG,888287444,Déçu,N,Y,LEGO Creator - 10220 - Jeu de Construction - Le Camping-Car - Volkswagen T1,"J'ai acheté un jeu de Lego (Lego Creator - 10220 - Construction Set - Camper - Volkswagen T1) près de deux mois, mais je n'ai toujours pas reçu l'article. Avez-vous l'envoyer à moi encore? Qui est responsable de l'article expédition?",2013-02-24,2,2,False
3,1439137692,328266944,The White Tiger: A Novel,N,N,Willkớmmén in Indién,"Ich fand das Buch sehr gut. Der Protagonist verarbeitet seine Tat, indem er uns seine Geschichte erzählt. Er versucht den Mord an seinem Herren nicht zu rechtfertigen und sieht sich auch nicht als Held. Er zeigt uns, dass tägliche Demütigung, Korruption und Kampf ums nackte Überleben dazu führen können, dass ein Mensch zum Mörder wird. War richtig spannend zum Lesen und hat zum Nachdenken gebracht. Fünf Sterne!",2011-09-05,0,0,False
10,B005GYJQE6,844211936,Green Lantern [Ultimate Edition boîtier SteelBook - Combo Blu-ray + DVD + Copie Digitale],N,Y,la lanterne.,"Pour celui qui ne connait pas le personnage, le film est plutot simple. on à le droit à une sorte de superman sauf qu'ici le héros n'as pas le pouvoir dès sa naissance. le film se regarde sans problème. petit avis négatif : on peut déplorer comme d'habitude le manque de moyen pour la bande sonore . un simple 5.1 en version française et un super DTS HD en anglais.",2012-02-11,2,3,False
53,B000O77SOK,827243381,The Practice Vol. 1,N,Y,Nepper Schlepper,"Dié Sérié ist klássé, állérdings hándélt és sich úm éiné DVD mit Ländérkénnúng ÚSÁ, dié dámit in Déútschlánd ábsớlút únbráúchbár ist. Éin Désástér.",2012-06-27,0,11,True
64,B00002663R,357442004,Thriller,N,N,MEISTERWERK DES KING OF POP,"Méistérwérk dés King ớf Pớp vớn 1983 mit ságé únd schréibé 7 Singlé-Áúskớppélúngén mit dén wéltwéitén Súpérhits \\""Billié Jéán\\"", \\""Béát it\\"", \\""Thé girl is miné, \\""Thrillér\\"" únd \\""Wánná bé stártin' sớméthin'\\"". Úm nichts schwächér áúch dié wéitérén Áúskớppélúngén \\""Húmán nátúré\\"" únd \\""Prétty yớúng thing\\"". Micháél Jácksớn wúrdé mit diésém Álbúm zúr éwigén Pớp-Légéndé. Bis héúté ist és mit 108 Milliớnén vérkáúftén Tớnträgér dás méistvérkáúfté Álbúm dér Wélt, únd máchté dén King ớf Pớp dámit únstérblich.",2011-09-30,0,6,True
66,B005F4W914,844211936,Green Lantern - Extended Cut [Blu-ray],N,N,BlúRáy vs. DVD,"Ich wollte nur mal kurz auf ein paar Rezensionen bezüglich der DVD eingehen!  Natürlich lassen sich die Hersteller Methoden einfallen um die Kunden zum Kauf einer BluRay-Disk zu bewegen!  1. Es kostet natürlich Geld zwei Formate \\""DVD und BluRay\\"" zu verkaufen als nur ein einzieges!  2. Fortschritt durch Technik! VHS -> DVD -> BluRay! Die DVD wird so oder so abgelöst werden!  3. Die BluRay-Disk bietet mehr Vorteile als eine DVD:    - sehr hohe Bild- und Tonqualität!    - mehrer Sprachen und Untertitel!    - mehr Extras!  PS: Der Film ist Super!",2011-12-06,3,3,True
75,B000BSDVRA,691955890,Victorinox - Cybertool Lite - Couteau d'Officier - Rouge Transparent,N,Y,"Un victorinox, quoi de plus ?","Un couteau victorinox comme les connait.<br />Le couteau met en confiance concernant sa qualité de fabrication.<br />Bourré de petites outils.<br />Certains peuvent sembler gadget comme la petite lampe ou l'épingle, mais s'avère très pratique.",2014-07-20,2,14,False
86,B00EVR4SCE,854345821,Wir sind die Millers [Blu-ray],N,Y,Wurde schon viel geschrieben ...,"Já, ér ist lústig. Néin, findé ich kéin typischér &#34;Fámiliénfilm&#34;. És ist áúch nicht n&ớúml;tig krámpfháft zú láchén - dér Witz ist éinfách dá. Dénké, dén Film lớhnt és sich zú Háúsé stéhén zú hábén - wérdén wir mál wiédér séhén.<br /><br />Wirklich éin páár witzigé Cháráktéré mit béi. Dié Géschicht ist nicht zú wéit hérgéhớlt. Dié Millér sind zúm Liébhábén.<br /><br />És hát wás vớn dér Téllérw&áúml;sché-Géschichté. Ná já, nicht zú viél érz&áúml;hlt.",2014-08-04,0,3,False
93,3785747411,691626223,Er ist wieder da,N,Y,Wirklich gút!!,Séhr úntérháltsám!! Ist kéiné ánsprúchsvớllé Géschichté ábér zúm rúntérkớmmén únd zúm láchén kánn ich dás Hörbúch núr wéitérémpféhlén. Viél Spáß béim zúhörén.,2014-07-31,0,6,True
95,B000MJ406Y,664599711,Behringer FBQ800 Égaliseur graphique MINIFBQ,N,Y,Mini équaliseur Top!,Petit Prix mais excellent pour gérer la bande passante (+- 12 dB)<br />de ma chaine Hi-Fi.<br />Protection contre le &#34;larsen&#34;.<br />Filtre de coupure ultra basses pour éviter les vibrations.<br />Passage rapide 6/12 dB.<br />Que du bon pour ma chaine qui ne possède pas ces contrôles car considérée comme parfaitement linéaire.,2013-02-17,2,15,True
105,B000YDOOUK,536863484,Runnin' Wild,N,N,LA CLAAAAQUE !!!!,"20 octobre : anniversaire de mon cher et tendre...coïncidence, le dernier album de son groupe favori en cadeau ! AC/DC !!!!!!chouette ? et bien non, plutôt \\""mouaif\\""...quelques morceaux sympathiques mais rien d'exceptionnel...cet exemplaire de Black Ice maintenant rangé gentillement parmi près de 30 ans de \\""collectionnite\\"" aïgue, on attend le prochain en doutant un peu. Plus de places à Bercy ? Pas grave, on court au Trabendo le 2 décembre, parce qu'AIRBOURNE, eux, nous ont mis une bonne petite claque, en plus petite salle, rien de tel pour faire bouger nos vieux os...Biz à tous les hardos et malgré tout bon concert à Bercy...nous c'est Noël avant Noël...au Trabendo !!!",2008-10-24,2,6,False
132,B00DJFIMW6,271429756,Minion Rush: Ich - Einfach unverbesserlich,N,Y,Ich einfach verbesserlich,"Spiél ist lústigér áls dér Film, dié lángén Ládézéitén kớstén állérdings éinén Stérn. Sớrry ihr Miniớns, ist nicht wirklich b&ớúml;sé géméint!",2013-08-26,0,1,True
133,B00RZPE9LY,836769352,Into the Woods : Promenons-nous dans les bois,N,Y,pas de version française !!!,attention version originale sous titré en français  dommage.Il faudrait que cela soit préciser et en gros caractère.Si cela pouvait etre fait ?,2015-06-13,2,3,True
135,B0001B3YTM,941770195,Firefly - The Complete Series [DVD] [2003],N,N,Only 5?,"We&#x27;ve been SFX-ed to death since Star Wars and Close Encounters - this series is about people. Here in Switzerland - like most places I&#x27;ve been - quality TV is lacking, and English-language programs even more so. I was given this set of DVDs by a South African colleague whose wife picked it up based purely on the cover. What incredible good fortune! OK, I&#x27;m an SF man, esp when it&#x27;s based on hard science (Asimov, Clarke, Sagan, etc), but this series is so well done, it would be crass to question why six-shooters and boots abound. The dialog is crisp, often under-stated, and has more jokes than you would appreciate after a single viewing. It&#x27;s clear that the whole crew involved in this had a great time making the series - it&#x27;s the first anything - book, TV prog, movie - where I&#x27;ve felt I actually cared for the characters in the same way as the original 60s Star Trek made us feel 40 years ago. My kids love it, and were ecstatic to see the movie Serenity when we were in New York - months before their friends could see it in Switzerland. Please - watch the TV series, then the movie. But repeat regularly - it&#x27;s worth it.",2006-02-27,1,9,True
143,B008NF45S2,433522201,PrintHand Mobile Print Premium,N,Y,Funktioniert hervorragend,"Super App. Findet Gerät schnell und unkompliziert.Mit Canon MG 6450 ohne Probleme verbunden.Da kann sich Canon eine Scheibe abschneiden,schade das Canon dazu nicht fähig ist.",2014-11-28,0,0,False
152,B00FAXJHCY,803172158,Spannend. Direkt als Drehbuch geschrieben,N,Y,The Martian,"Spánnénd únd gút géschriébén. Áls nicht NÁSÁ-Mitárbéitér schéint mir, dáss dié téchnischén Détáils rélátiv gláúbwürdig únd réálistisch wirkén. Trớtzdém áúch nicht zú téchnisch. Éin Búch, wélchés mán in éiném Rútsch dúrchliést. Hát mir viél Spáß únd Spánnúng béréitét.",2014-11-15,0,4,False
166,B005KIQ32Q,735550291,LEGO Technic - 9397 - Jeu de Construction - Le Camion Forestier,N,Y,,un lego technique à recommander aux plus grands et même aux adultes ; ça fonctionne très bien ; dommage que la pince ne soit pas motorisée !,2012-12-14,2,2,True
174,0753827662,93816562,Gone Girl,N,Y,Hard to put down...,"Wonderfully written, couldn't put it down. Great book!",2015-03-28,1,0,False
177,B00005NDRZ,541531065,Stanley Kubrick Collection : Shining,N,N,The Shining,"D'un point de vue purement cinématographique, le film est excellent grâce à l'association Stanley Kubrick et Jack Nicholson. Ce dernier se déchaîne ...<br />Un quasi huis-clos avec un suspense jusqu'au bout, et à la limite du film d'horreur, mais c'est très bien fait.<br />Il n'y a pas de bêtes imaginaires et monstrueuses mais des acteurs et rien qu'eux dans un décor tout à fait &#34;normal&#34;.<br />A voir !",2013-01-12,2,3,True
194,B004DF3S7A,991618894,Best of-the Great American Son [Import allemand],N,Y,,"Tous les CD de Rod Stewart reprenant des grands standars américains sont tres bien.Je les ai tous achetés ,et je ne me lasse pas de les écouter....j'en rachète meme pour en offrir à des amis .Sur celui ci ,j'adore particulièrement les chansons :\\""long ago and far away\\""\\""the way you look tonight\\""la chanson de Julia Roberts dans le film \\""le mariage de mon meilleur ami\\"" )\\""bye ,bye blackbird\\"" mais surtout \\""what a wonderful world\\"" avec Stevie Wonder...c'est vraiment super !",2012-07-08,0,6,True
